model,id,title,authors
book.book,759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein
book.book,762,Crónica de una muerte anunciada,Gabriel García Márquez
book.book,763,Cien años de soledad,Gabriel García Márquez
book.book,764,Del amor y otros demonios,Gabriel García Márquez
book.book,765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman
book.book,766,Memoria de mis putas tristes,Gabriel García Márquez
book.book,771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene
book.book,775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu
book.book,787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill
book.book,793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon
book.book,797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters
book.book,799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan
book.book,815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger
book.book,816,Cryptonomicon,Neal Stephenson
book.book,821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson
book.book,822,The Confusion (The Baroque Cycle  #2),Neal Stephenson
book.book,823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson
book.book,824,The Cobweb,Neal Stephenson/J. Frederick George
book.book,826,The Big U,Neal Stephenson
book.book,827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero
book.book,828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury
book.book,829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson
book.book,830,Snow Crash,Neal Stephenson/Guy Abadia
book.book,834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie
book.book,835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie
book.book,840,The Design of Everyday Things,Donald A. Norman
book.book,841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman
book.book,842,The Psychology of Everyday Things,Donald A. Norman
book.book,848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray
book.book,864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith
book.book,865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce
book.book,866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe
book.book,868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe
book.book,869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe
book.book,870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe
book.book,871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe
book.book,872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius
book.book,873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe
